id,statement,correct,category,tag,era,explanation,source
25,始皇帝は、民間の書物を医薬・占い・農業関係のものも含めて焼き捨てるように命じた。,0,中国の古典文明,中国,秦・漢帝国時代,前3世紀に中国を統一した秦の始皇帝は、医薬・占い・農業関係のものを含めてではなく、それらを除いた書物を焼き、儒学者を生き埋めにする焚書・坑儒を行った。,共通テスト2021年度本試験
26,エフェソス公会議で教皇の至上権が再確認され、禁書目録を定めて異端弾圧が強化された。,0,ヨーロッパ世界の形成と発展,ヨーロッパ世界の形成,,エフェソス公会議ではなくトリエント公会議で教皇の至上権が再確認され、異端審問が強化された。エフェソス公会議は5世紀に開かれ、ネストリウス派を異端とした。,共通テスト2021年度本試験
27,ナチス体制下では、ゲシュタポにより国民生活が厳しく統制され、言論の自由が奪われた。,1,世界恐慌とファシズム諸国の侵略,世界大戦,,1930年代に全権委任法を成立させて一党独裁を確立したナチス支配下のドイツでは、ゲシュタポ（秘密警察）が設立され、ナチスに反対する勢力の摘発などが行われた。,共通テスト2021年度本試験
28,冷戦下のイギリスで、共産主義者を排除する運動が、マッカーシーによって盛んになった。,0,米ソ冷戦の激化と西欧・日本の経済復興,冷戦,,冷戦下の1950年代にイギリスではなくアメリカ合衆国で、上院議員マッカーシーによる共産主義者を排除するマッカーシズムと呼ばれる運動が行われた。,共通テスト2021年度本試験
29,ヴィクトリア女王はインド皇帝に即位した。,1,南アジア・東南アジアの植民地化,インド,,ヴィクトリア女王は19世紀後半に成立したインド帝国の皇帝に即位した。,共通テスト2021年度本試験
30,ヴィクトリア女王はハノーヴァー朝を開いた,0,重商主義と啓蒙専制主義,イギリス,,ハノーヴァー朝を開いたのはジョージ1世。アン女王でステュアート朝が断絶し、ドイツからハノーヴァー選帝侯が招かれてジョージ1世として即位した。,共通テスト2021年度本試験
31,ヴィクトリア女王は統一法を制定した。,0,重商主義と啓蒙専制主義,イギリス,,統一法は16世紀後半にテューダー朝のエリザベス1世がだし、イギリス国教会を確立した。,共通テスト2021年度本試験
32,ヴィクトリア女王はグレートブリテン王国を成立させた。,0,重商主義と啓蒙専制主義,イギリス,,グレートブリテン王国（大ブリテン王国）は、18世紀前半のアン女王の時代にスコットランドが併合されて成立した。,共通テスト2021年度本試験
33,中国の思想家・孟子は、家族道徳を社会秩序の規範とすることを重視した,1,中国の古典文明,中国,春秋戦国時代,孟子は戦国時代の儒家の思想家で、家族道徳を重視した。孔子を祖とする儒家では家族道徳を重視した。,共通テスト2021年度本試験
34,秦の始皇帝に仕えた李斯は、血縁を超えて無差別に人を愛すことを重視した。,0,中国の古典文明,中国,春秋戦国時代,秦の始皇帝に仕えた李斯は法家の人物で、法家は「法律による秩序」を重視し、法治主義を唱えた。血縁を超えた無差別の愛は墨家の墨子が唱えた。,共通テスト2021年度本試験
35,インノケンティウス3世は、モンテ=カシノに修道院を作った,0,西ヨーロッパの中世文化,,,インノケンティウス3世ではなく、ベネディクトゥスが6世紀に中部イタリアのモンテ=カシノに修道院を作った。インノケンティウス3世は12世紀末～13世紀はじめの教皇権絶頂期のときの教皇,共通テスト2021年度本試験
36,シトー修道院は森林の開墾に取り組んだ。,1,西ヨーロッパの中世文化,,,シトー修道院は11世紀フランスで創設された修道会で、12世紀移行のヨーロッパにおける大開墾時代に開墾運動の中心となった。,共通テスト2021年度本試験
37,クローヴィスのもとで、クリュニー修道院が中心となって改革運動が起こった。,0,西ヨーロッパの中世文化,,,11世紀にクリュニー修道院が中心となって改革運動が起こり、教皇グレゴリウス7世の教会改革に影響を与えた。クローヴィスは5世紀後半にメロヴィング朝を建てた人物。,共通テスト2021年度本試験
38,ヘンリ3世は、修道院を解散し、その財産を没収した。,0,重商主義と啓蒙専制主義,イギリス,,ヘンリ3世ではなく、テューダー朝のヘンリ8世が16世紀前半に国王至上法（首長法）を制定して、イギリス国教会を設立した。ヘンリ3世はプランタジネット朝のイギリス王で、13世紀にジョン王の認めた大憲章（マグナ=カルタ）を無視し、シモン・ド・モンフォールの反乱を招いた。,共通テスト2021年度本試験
39,隋や唐では、主に仏教の理解を問う科挙が整備された,0,東アジア文化圏の形成,中国,隋・唐,隋で始められた学科試験による官吏登用法の科挙は仏教ではなく主に儒学について問う試験であった。,共通テスト2021年度本試験
40,フランスでは、20世紀はじめに政教分離法が成立した,1,帝国主義と列強の展開,,,フランスでは20世紀はじめに政教分離法が制定されて、カトリック教会の政治介入が排除された。,共通テスト2021年度本試験
41,中世ヨーロッパの学問では神学が重視された,1,西ヨーロッパの中世文化,,,中世ヨーロッパではキリスト教の教義を研究する神学が学問の頂点に位置し、とくにギリシア哲学を利用して教義の体系化をはかるスコラ学が発達した。,共通テスト2021年度本試験
42,イスラーム世界では、マドラサが重要な教育機関となった。,1,イスラーム文明の発展,イスラーム世界,,イスラーム世界では、10世紀頃からウラマーと呼ばれるイスラーム法学者を養成するために各地にマドラサ（学院）が建設された。,共通テスト2021年度本試験
